ADDRESS,CITY,"STATEMENT
DATE",UNIT,STATEMENT FROM DATE*,"STATEMENT 
TO DATE*",NUMBER OF DAYS,CALCULATED GPD*
32 Kimberly Pl,Alamo,12/30/15,87,10/21/15,12/28/15,68,957
337 Corrie Pl,Alamo,12/30/15,93,10/21/15,12/28/15,68,1023
49 Crest Ave,Alamo,1/29/16,160,11/23/15,1/26/16,64,1870
1980 Las Trampas Rd,Alamo,1/29/16,109,11/19/15,1/26/16,68,1199
1841 Lackland Dr,Alamo,12/30/15,106,10/21/15,12/28/15,68,1166
2890 Miranda Ave,Alamo,12/29/15,103,10/21/15,12/22/15,62,1243
437 Red Wing Dr,Alamo,1/27/16,121,11/17/15,1/22/16,66,1371
1995 Lackland Dr,Alamo,12/31/15,458,10/21/15,12/28/15,68,5038
131 Alamo Hills Ct,Alamo,12/30/15,105,10/22/15,12/28/15,67,1172
102 Muir Ln,Alamo,1/12/16,133,11/3/15,1/6/16,64,1554
107 Florence Ct,Alamo,1/27/16,125,11/17/15,1/22/16,66,1417
1510 Ramona Way,Alamo,1/28/16,95,11/18/15,1/25/16,68,1045
1804 Piedras Cir,Alamo,12/30/15,140,10/21/15,12/28/15,68,1540
340 Corrie Pl,Alamo,12/30/15,116,10/21/15,12/28/15,68,1276
1 Garden Park Ct,Alamo,1/28/16,130,11/18/15,1/25/16,68,1430
136 Lark Ct,Alamo,1/29/16,93,11/19/15,1/26/16,68,1023
3008 Oakraider Dr,Alamo,12/29/15,136,10/21/15,12/22/15,62,1641
521 Justin Morgan Dr,Alamo,12/30/15,137,10/22/15,12/28/15,67,1529
641 Kains Ave,Albany,12/31/15,127,10/23/15,12/29/15,67,1418
880 Jones St,Berkeley,1/20/16,122,11/9/15,1/13/16,65,1404
26 Alvarado Rd,Berkeley,1/7/16,99,11/3/15,1/4/16,62,1194
23 Vicente Rd,Berkeley,1/8/16,88,10/29/15,1/4/16,67,982
2711 Claremont Bl,Berkeley,1/13/16,83,11/3/15,1/7/16,65,955
2957 Avalon Ave,Berkeley,1/12/16,101,11/3/15,1/7/16,65,1162
22 Tanglewood Rd,Berkeley,1/12/16,116,11/3/15,1/7/16,65,1335
2323 Valley St,Berkeley,1/15/16,88,11/5/15,1/12/16,68,968
2221 Prince St,Berkeley,1/6/16,81,10/28/15,12/31/15,64,947
2470 Cedar St,Berkeley,1/19/16,150,11/10/15,1/13/16,64,1753
1586 Leroy Ave,Berkeley,1/21/16,112,11/13/15,1/14/16,62,1351
1068 Cragmont Ave,Berkeley,1/4/16,87,10/27/15,12/29/15,63,1033
2670 Parker St,Berkeley,1/13/16,98,11/3/15,1/7/16,65,1128
7 Tanglewood Rd,Berkeley,1/13/16,89,11/3/15,1/7/16,65,1024
19236 Lakeridge Rd,Castro Valley,1/6/16,122,10/28/15,12/31/15,64,1426
4621 James Ave,Castro Valley,12/31/15,200,10/16/15,12/17/15,62,2413
51 Rolph Park Dr,Crockett,1/13/16,140,11/4/15,1/8/16,65,1611
1131 Eagle Nest Ct,Danville,12/28/15,83,10/20/15,12/21/15,62,1001
270 El Pinto,Danville,12/30/15,146,10/21/15,12/28/15,68,1606
401 Kingswood Ln,Danville,12/28/15,156,10/20/15,12/22/15,63,1852
61 Eagle Ridge Pl,Danville,12/28/15,84,10/20/15,12/21/15,62,1013
34 Alamo Springs Pl,Danville,12/30/15,89,10/21/15,12/28/15,68,979
5505 Blackhawk Dr,Danville,12/28/15,104,10/20/15,12/22/15,63,1235
81 Eagle Ridge Pl,Danville,12/28/15,123,10/20/15,12/21/15,62,1484
941 Eagle Ridge Dr,Danville,12/28/15,99,10/20/15,12/21/15,62,1194
3370 Blackhawk Meadow Dr,Danville,12/31/15,85,10/23/15,12/24/15,62,1025
749 El Pintado Rd,Danville,12/29/15,104,10/21/15,12/23/15,63,1235
3335 Deer Hollow Dr,Danville,12/31/15,95,10/23/15,12/24/15,62,1146
117 Shadewell Dr,Danville,1/20/16,102,11/9/15,1/13/16,65,1174
3307 Deer Hollow Dr,Danville,12/31/15,241,10/23/15,12/24/15,62,2908
4491 Deer Ridge Rd,Danville,12/28/15,129,10/20/15,12/21/15,62,1556
3308 Deer Hollow Dr,Danville,12/31/15,84,10/23/15,12/24/15,62,1013
640 El Pintado,Danville,12/29/15,101,10/21/15,12/23/15,63,1199
801 Century Way,Danville,1/8/16,81,10/29/15,1/4/16,67,904
4053 Eagle Nest Ln,Danville,12/28/15,145,10/20/15,12/21/15,62,1749
121 Deer Ridge Pl,Danville,12/28/15,97,10/20/15,12/21/15,62,1170
225 Piedmont Ln,Danville,12/29/15,84,10/21/15,12/23/15,63,997
557 El Pintado Rd,Danville,12/29/15,103,10/21/15,12/23/15,63,1223
201 South Ridge Ct,Danville,12/28/15,81,10/20/15,12/21/15,62,977
4350 Quail Run Ln,Danville,12/28/15,155,10/20/15,12/21/15,62,1870
486 Lamont Way,Danville,1/29/16,121,11/24/15,1/27/16,64,1414
417 Fremerey Ct,Danville,1/20/16,93,11/9/15,1/13/16,65,1070
3421 Deer Ridge Dr,Danville,12/31/15,95,10/23/15,12/24/15,62,1146
200 Kirkcrest Ct,Danville,1/12/16,149,11/3/15,1/6/16,64,1741
804 El Pintado Rd,Danville,12/31/15,184,10/21/15,12/23/15,63,2185
18 Alamo Springs Ct,Danville,12/30/15,132,10/21/15,12/28/15,68,1452
215 Piedmont Ln,Danville,12/29/15,86,10/21/15,12/23/15,63,1021
71 Eagle Ridge Pl,Danville,12/28/15,88,10/20/15,12/21/15,62,1062
282 St Christopher Dr,Danville,1/8/16,94,10/29/15,1/4/16,67,1049
2205 Hidden Oak Dr,Danville,12/28/15,109,10/21/15,12/21/15,61,1337
5444 Blackhawk Dr,Danville,12/28/15,141,10/20/15,12/21/15,62,1701
823 La Gonda Way,Danville,12/30/15,83,10/21/15,12/28/15,68,913
4271 Quail Run Pl,Danville,12/28/15,140,10/20/15,12/21/15,62,1689
436 El Rio Rd,Danville,12/29/15,99,10/21/15,12/23/15,63,1175
5411 Blackhawk Dr,Danville,12/28/15,89,10/20/15,12/21/15,62,1074
38 Pheasant Run Pl,Danville,12/31/15,85,10/23/15,12/24/15,62,1025
1901 Peters Ranch Rd,Danville,1/20/16,96,11/9/15,1/13/16,65,1105
3328 Deer Hollow Dr,Danville,12/31/15,108,10/23/15,12/24/15,62,1303
75 El Pintado Pl,Danville,12/29/15,128,10/21/15,12/23/15,63,1520
5466 Blackhawk Dr,Danville,12/28/15,87,10/20/15,12/21/15,62,1050
401 Pennington Pl,Danville,1/8/16,86,10/30/15,1/4/16,66,975
80 Mesa Oak Ln,Danville,12/28/15,91,10/21/15,12/21/15,61,1116
5408 Blackhawk Dr,Danville,12/28/15,104,10/20/15,12/22/15,63,1235
3410 Deer Ridge Dr,Danville,12/31/15,96,10/23/15,12/24/15,62,1158
485 El Alamo,Danville,12/29/15,93,10/21/15,12/23/15,63,1104
481 Kingswood Ln,Danville,12/28/15,119,10/20/15,12/21/15,62,1436
3654 Old Blackhawk Rd,Danville,1/12/16,85,11/3/15,1/6/16,64,993
1130 Eagle Nest Ct,Danville,12/31/15,173,10/20/15,12/21/15,62,2087
235 Piedmont Ln,Danville,12/29/15,92,10/21/15,12/23/15,63,1092
672 El Pintado,Danville,12/29/15,181,10/21/15,12/23/15,63,2149
54 Marigold Ct,Danville,1/29/16,115,11/24/15,1/28/16,65,1323
8 Mrack Ct,Danville,12/30/15,92,10/22/15,12/23/15,62,1110
340 Pheasant Run Dr,Danville,12/31/15,87,10/23/15,12/24/15,62,1050
352 Pheasant Run Dr,Danville,12/31/15,85,10/23/15,12/24/15,62,1025
3471 Country Club Pl,Danville,12/31/15,132,10/23/15,12/24/15,62,1593
47 Ambleside Ct,Danville,1/8/16,83,10/28/15,1/4/16,68,913
1121 Eagle Nest Ct,Danville,12/31/15,479,10/20/15,12/21/15,62,5779
1120 Eagle Nest Ct,Danville,12/28/15,99,10/20/15,12/21/15,62,1194
3303 Deer Hollow Dr,Danville,12/31/15,122,10/26/15,12/23/15,58,1573
2170 Deer Oak Way,Danville,12/28/15,95,10/21/15,12/21/15,61,1165
2721 Deer Meadow Dr,Danville,12/28/15,110,10/19/15,12/21/15,63,1306
4255 Quail Run Dr,Danville,12/28/15,111,10/20/15,12/22/15,63,1318
2000 Pin Oak Pl,Danville,12/28/15,96,10/21/15,12/21/15,61,1177
4470 Deer Ridge Rd,Danville,12/28/15,102,10/20/15,12/21/15,62,1231
3481 Country Club Pl,Danville,12/31/15,105,10/23/15,12/24/15,62,1267
6 Mrack Ct,Danville,12/30/15,120,10/22/15,12/23/15,62,1448
939 Eagle Ridge Dr,Danville,12/28/15,94,10/20/15,12/21/15,62,1134
868 Ackerman Dr,Danville,1/15/16,140,11/6/15,1/12/16,67,1563
304 Adagio Dr,Danville,1/8/16,90,10/28/15,1/4/16,68,990
3515 Country Club Ter,Danville,12/28/15,119,10/20/15,12/21/15,62,1436
12 Ohlson Ln,Danville,12/29/15,94,10/21/15,12/23/15,63,1116
4499 Deer Ridge Rd,Danville,12/31/15,228,10/20/15,12/21/15,62,2751
111 Deer Ridge Pl,Danville,12/28/15,146,10/20/15,12/21/15,62,1761
518 Mission Pl,Danville,1/5/16,128,10/27/15,12/30/15,64,1496
3300 Deer Hollow Dr,Danville,12/31/15,142,10/23/15,12/24/15,62,1713
110 Deer Ridge Pl,Danville,12/31/15,217,10/20/15,12/21/15,62,2618
109 Deer Ridge Pl,Danville,12/28/15,106,10/20/15,12/21/15,62,1279
4494 Deer Ridge Rd,Danville,12/28/15,121,10/20/15,12/21/15,62,1460
3384 Quail Walk Ln,Danville,12/31/15,145,10/23/15,12/24/15,62,1749
580 El Capitan Dr,Danville,1/5/16,81,10/27/15,12/30/15,64,947
3312 Deer Hollow Dr,Danville,12/31/15,137,10/23/15,12/24/15,62,1653
873 El Cerro Bl,Danville,1/19/16,92,11/6/15,1/12/16,67,1027
3327 Deer Hollow Dr,Danville,12/31/15,83,10/23/15,12/24/15,62,1001
553 El Pintado Rd #B,Danville,12/29/15,83,10/21/15,12/23/15,63,985
4405 Deer Ridge Rd,Danville,12/28/15,100,10/20/15,12/22/15,63,1187
11 Saddleback Ct,Danville,1/20/16,96,11/9/15,1/13/16,65,1105
34 Goldstone Ct,Danville,1/11/16,146,11/3/15,1/6/16,64,1706
2050 Diablo Rd,Diablo,12/28/15,153,10/19/15,12/21/15,63,1817
1749 Arlington Bl,El Cerrito,1/8/16,84,10/29/15,1/4/16,67,938
2525 Carquinez Ave,El Cerrito,1/14/16,82,11/5/15,1/11/16,67,915
6356 Conlon Ave,El Cerrito,1/14/16,131,11/6/15,1/11/16,66,1485
1406 Navellier St,El Cerrito,1/12/16,88,11/3/15,1/6/16,64,1029
856 Ridgedale Ct,El Sobrante,1/21/16,194,11/12/15,1/15/16,64,2267
4710 San Pablo Dam Rd,El Sobrante,1/22/16,210,11/12/15,1/15/16,64,2454
363 Medford Ave,Hayward,1/29/16,123,11/23/15,1/27/16,65,1415
611 W A St,Hayward,1/11/16,82,10/30/15,1/5/16,67,915
3493 Hackamore Dr,Hayward,1/27/16,87,11/17/15,1/22/16,66,986
497 Cherry Way,Hayward,1/29/16,124,11/23/15,1/27/16,65,1427
10 Westminster Ave,Kensington,1/12/16,84,8/31/15,10/30/15,60,1047
3660 Happy Valley Rd,Lafayette,12/28/15,111,10/20/15,12/21/15,62,1339
1009 Pine Ln,Lafayette,12/30/15,167,10/22/15,12/23/15,62,2015
2 White Pine Ln,Lafayette,12/30/15,105,10/22/15,12/28/15,67,1172
3936 Happy Valley Rd,Lafayette,12/30/15,110,10/22/15,12/28/15,67,1228
4087 Happy Valley Rd,Lafayette,12/30/15,121,10/22/15,12/28/15,67,1351
4090 Happy Valley Rd,Lafayette,12/31/15,173,10/22/15,12/28/15,67,1931
3745 St Francis Dr,Lafayette,12/31/15,108,10/23/15,12/29/15,67,1206
1164 Upper Happy Val Rd,Lafayette,12/30/15,90,10/22/15,12/28/15,67,1005
390 Castello Rd,Lafayette,1/8/16,113,10/30/15,1/4/16,66,1281
3838 Palo Alto Dr,Lafayette,12/31/15,82,10/23/15,12/29/15,67,915
1177 Estates Dr,Lafayette,12/28/15,113,10/26/15,12/22/15,57,1483
1185 Estates Dr,Lafayette,12/28/15,86,10/26/15,12/22/15,57,1129
1205 Upper Happy Val Rd,Lafayette,12/31/15,231,10/22/15,12/28/15,67,2579
3490 Blackhawk Rd,Lafayette,12/30/15,90,10/22/15,12/23/15,62,1086
1188 Estates Dr,Lafayette,12/28/15,128,10/26/15,12/22/15,57,1680
1170 Upper Happy Val Rd,Lafayette,1/5/16,491,4/28/15,12/28/15,244,1505
4146 Canyon Rd,Lafayette,12/31/15,268,10/26/15,12/22/15,57,3517
3682 Hastings Ct,Lafayette,12/28/15,83,10/20/15,12/21/15,62,1001
4051 Happy Valley Rd,Lafayette,12/31/15,295,10/22/15,12/28/15,67,3293
3959 Happy Valley Rd,Lafayette,12/30/15,132,10/22/15,12/28/15,67,1474
3692 Hastings Ct,Lafayette,12/28/15,121,10/20/15,12/21/15,62,1460
3790 Happy Valley Rd,Lafayette,12/30/15,95,10/22/15,12/28/15,67,1061
1023 Timothy Ln,Lafayette,12/30/15,101,10/22/15,12/23/15,62,1219
3983 Happy Valley Rd,Lafayette,12/30/15,95,10/22/15,12/28/15,67,1061
24 Toledo Ct,Lafayette,12/30/15,81,10/22/15,12/28/15,67,904
3347 Beechwood Dr,Lafayette,1/14/16,83,11/5/15,1/8/16,64,970
1229 Rose Ln,Lafayette,12/31/15,83,10/23/15,12/29/15,67,927
4 Wellesley Dr,Lafayette,12/30/15,91,10/22/15,12/28/15,67,1016
3792 Happy Valley Rd,Lafayette,12/30/15,219,8/24/15,12/28/15,126,1300
25 Springhill Manor,Lafayette,12/30/15,97,10/22/15,12/23/15,62,1170
3175 Teigland Rd,Lafayette,1/26/16,162,11/16/15,1/20/16,65,1864
1227 Upper Happy Val Rd,Lafayette,12/31/15,188,10/22/15,12/28/15,67,2099
3666 Happy Valley Rd,Lafayette,12/28/15,90,10/20/15,12/21/15,62,1086
8 Lois Ln,Lafayette,12/28/15,115,10/20/15,12/22/15,63,1365
21 Tiana Ter,Lafayette,1/7/16,86,10/28/15,12/31/15,64,1005
3629 Happy Valley Ln,Lafayette,12/28/15,86,10/20/15,12/21/15,62,1038
16 Deer Trail,Lafayette,12/30/15,143,10/22/15,12/28/15,67,1596
3955 Happy Valley Rd,Lafayette,12/31/15,512,10/22/15,12/28/15,67,5716
4037 Natasha Dr,Lafayette,12/28/15,88,10/20/15,12/22/15,63,1045
4040 Los Arabis Dr,Lafayette,12/28/15,92,10/26/15,12/22/15,57,1207
3674 Happy Valley Rd,Lafayette,12/28/15,81,10/20/15,12/21/15,62,977
3669 Happy Valley Rd,Lafayette,12/28/15,83,10/20/15,12/21/15,62,1001
3832 Happy Valley Rd,Lafayette,12/30/15,126,10/22/15,12/28/15,67,1407
3834 Palo Alto Dr,Lafayette,12/31/15,142,10/23/15,12/29/15,67,1585
1160 Vallecito Ct,Lafayette,12/30/15,81,10/22/15,12/28/15,67,904
1750 Reliez Valley Rd,Lafayette,1/6/16,169,10/28/15,12/31/15,64,1975
1259 Redwood Ln,Lafayette,12/30/15,155,10/22/15,12/28/15,67,1730
4115 Happy Valley Rd,Lafayette,12/31/15,235,10/22/15,12/28/15,67,2624
1121 Estates Dr,Lafayette,12/28/15,135,10/26/15,12/22/15,57,1772
4100 Happy Valley Rd,Lafayette,12/30/15,145,10/22/15,12/28/15,67,1619
4001 Happy Valley Rd,Lafayette,12/30/15,100,10/22/15,12/28/15,67,1116
17 Northridge Ln,Lafayette,12/28/15,105,10/20/15,12/22/15,63,1247
1 Via Oneg,Lafayette,1/4/16,103,10/22/15,12/23/15,62,1243
1058 Via Roble,Lafayette,12/30/15,92,10/22/15,12/23/15,62,1110
15 Sessions Rd,Lafayette,12/28/15,81,10/20/15,12/22/15,63,962
3815 Palo Alto Dr,Lafayette,12/31/15,95,10/23/15,12/29/15,67,1061
3948 Quail Ridge Rd,Lafayette,12/30/15,86,10/22/15,12/23/15,62,1038
3911 Happy Valley Rd,Lafayette,12/30/15,83,10/22/15,12/28/15,67,927
1235 N Scenic Dr,Lafayette,12/30/15,93,10/22/15,12/23/15,62,1122
949 Reliez Station Rd,Lafayette,1/6/16,129,10/28/15,12/30/15,63,1532
3673 Happy Valley Rd,Lafayette,12/28/15,85,10/20/15,12/21/15,62,1025
20 Monticello Ct,Lafayette,12/28/15,90,10/20/15,12/21/15,62,1086
3355 Carlyle Ter,Lafayette,12/31/15,336,10/16/15,12/18/15,63,3989
3744 St Francis Dr,Lafayette,12/31/15,89,10/23/15,12/29/15,67,994
3830 Happy Valley Rd,Lafayette,12/30/15,146,10/22/15,12/28/15,67,1630
1210 Via Gabarda,Lafayette,1/27/16,92,11/18/15,1/21/16,64,1075
3933 N Peardale Dr,Lafayette,12/31/15,219,8/24/15,12/28/15,126,1300
849 Camino Ricardo,Moraga,1/19/16,102,11/6/15,1/12/16,67,1139
161 Tharp Dr,Moraga,1/5/16,84,10/27/15,12/30/15,64,982
13694 Campus Dr,Oakland,1/5/16,115,10/27/15,12/30/15,64,1344
2825 Garden St # B,Oakland,1/27/16,104,11/17/15,1/21/16,65,1197
9221 Sunnyside St,Oakland,12/28/15,84,10/20/15,12/22/15,63,997
94 Rishell Dr,Oakland,1/11/16,94,11/4/15,1/5/16,62,1134
2957 107th Ave,Oakland,1/8/16,204,10/29/15,1/4/16,67,2277
9915 C St,Oakland,1/27/16,87,11/18/15,1/25/16,68,957
850 45th St,Oakland,1/14/16,119,11/5/15,1/11/16,67,1329
2321 E 23rd St,Oakland,1/27/16,99,11/17/15,1/22/16,66,1122
170 Roble Rd,Oakland,1/8/16,86,10/29/15,1/4/16,67,960
9906 B St,Oakland,1/28/16,440,11/18/15,1/25/16,68,4840
1415 67th Ave,Oakland,12/30/15,130,10/22/15,12/24/15,63,1543
6626 Woodland Pl,Oakland,1/13/16,86,11/4/15,1/7/16,64,1005
322 Ashton Ave,Oakland,1/11/16,129,11/2/15,1/6/16,65,1484
13985 Skyline Bl,Oakland,1/4/16,87,10/27/15,12/30/15,64,1017
1131 9th Ave,Oakland,1/25/16,86,11/13/15,1/19/16,67,960
5958 Almaden Ln,Oakland,1/21/16,117,11/12/15,1/14/16,63,1389
1625 E 20th St,Oakland,1/25/16,93,11/16/15,1/19/16,64,1087
9445 D St,Oakland,1/28/16,81,11/18/15,1/25/16,68,891
638 Mandana Bl,Oakland,1/21/16,139,11/13/15,1/19/16,67,1552
645 W Grand Ave,Oakland,1/14/16,102,11/6/15,1/11/16,66,1156
2706 E 21st St,Oakland,1/27/16,91,11/17/15,1/22/16,66,1031
1662 51st Ave,Oakland,1/28/16,83,11/19/15,1/25/16,67,927
1077 56th St,Oakland,1/15/16,88,11/5/15,1/12/16,68,968
6550 Castle Dr,Oakland,12/31/15,117,10/16/15,12/11/15,56,1563
6024 Mazuela Dr,Oakland,1/21/16,100,11/10/15,1/14/16,65,1151
442 E 15th St,Oakland,1/22/16,84,11/12/15,1/15/16,64,982
6619 Telegraph Ave,Oakland,1/19/16,89,11/10/15,1/13/16,64,1040
4303 Malcolm Ave,Oakland,12/31/15,93,10/29/15,12/29/15,61,1140
12631 Skyline Bl,Oakland,1/11/16,84,11/2/15,1/6/16,65,967
9899 Thermal St,Oakland,1/7/16,101,10/29/15,1/4/16,67,1128
1036 86th Ave,Oakland,12/29/15,98,10/21/15,12/22/15,62,1182
5588 Fernhoff Rd,Oakland,1/11/16,98,11/2/15,1/5/16,64,1145
1715 87th Ave,Oakland,12/31/15,206,10/21/15,12/22/15,62,2485
2344 84th Ave # A,Oakland,12/29/15,85,10/21/15,12/22/15,62,1025
10626 Sheldon St,Oakland,1/7/16,83,10/29/15,1/4/16,67,927
5708 Florence Ter,Oakland,1/15/16,324,11/5/15,1/11/16,67,3617
4076 Santa Rita St,Oakland,1/4/16,98,10/26/15,12/29/15,64,1145
1218 76th Ave,Oakland,1/27/16,81,11/18/15,1/21/16,64,947
4929 International Bl,Oakland,1/6/16,89,10/27/15,12/30/15,64,1040
1300 50th Ave,Oakland,1/6/16,84,10/27/15,12/30/15,64,982
1050 E 12th St,Oakland,1/22/16,239,11/12/15,1/15/16,64,2793
4925 Scotia Ave,Oakland,1/5/16,81,10/26/15,12/30/15,65,932
2633 63rd Ave,Oakland,12/30/15,94,10/22/15,12/24/15,63,1116
973 63rd St,Oakland,1/19/16,88,11/6/15,1/12/16,67,982
2509 Inyo Ave,Oakland,1/27/16,92,11/17/15,1/21/16,65,1059
3974 Manila Ave,Oakland,1/14/16,101,11/4/15,1/8/16,65,1162
6363 Estates Dr,Oakland,1/19/16,121,11/10/15,1/13/16,64,1414
2328 12th Ave,Oakland,1/21/16,112,11/13/15,1/14/16,62,1351
3640 Oak Knoll Bl,Oakland,1/7/16,91,10/29/15,12/31/15,63,1080
9890 Burr St,Oakland,1/7/16,90,10/29/15,1/4/16,67,1005
310 Caswell Ave,Oakland,1/12/16,84,11/2/15,1/6/16,65,967
10420 Greenview Dr,Oakland,1/5/16,88,10/27/15,12/30/15,64,1029
9830 Bernhardt Dr,Oakland,12/31/15,185,10/15/15,12/16/15,62,2232
10 North Hill Ct,Oakland,1/29/16,116,11/19/15,1/26/16,68,1276
921 Market St,Oakland,1/11/16,82,10/30/15,1/5/16,67,915
6 Abbott Ct,Orinda,1/11/16,118,11/2/15,1/5/16,64,1379
41 Tara Rd,Orinda,1/12/16,88,11/4/15,1/7/16,64,1029
60 Donald Dr,Orinda,1/8/16,96,11/2/15,1/5/16,64,1122
67 La Cuesta,Orinda,1/12/16,156,11/2/15,1/7/16,66,1768
30 Valley Dr,Orinda,1/8/16,194,10/30/15,1/4/16,66,2199
475 Dalewood Dr,Orinda,1/7/16,82,10/29/15,1/4/16,67,915
596 Dalewood Dr,Orinda,1/7/16,98,10/29/15,1/4/16,67,1094
119 Melody Ln,Orinda,12/31/15,128,10/23/15,12/28/15,66,1451
37 Charles Hill Cir,Orinda,12/28/15,115,10/26/15,12/22/15,57,1509
4134 Happy Valley Rd,Orinda,12/30/15,100,10/22/15,12/28/15,67,1116
1 Sandhill Ct,Orinda,12/31/15,468,10/23/15,12/28/15,66,5304
16 Heather Ln,Orinda,1/8/16,93,10/30/15,1/4/16,66,1054
18 Lavenida,Orinda,12/28/15,128,8/20/15,12/22/15,124,772
41 Donald Dr,Orinda,1/11/16,117,11/2/15,1/5/16,64,1367
142 Silver Oak Ter,Orinda,12/30/15,110,10/22/15,12/28/15,67,1228
9 Ranch Rd,Orinda,1/5/16,100,10/23/15,12/28/15,66,1133
16 Valley View Ln,Orinda,12/31/15,139,10/23/15,12/28/15,66,1575
361 Tahos Rd,Orinda,1/13/16,98,11/5/15,1/7/16,63,1164
73 Estates Dr,Orinda,1/7/16,155,10/30/15,1/4/16,66,1757
37 Parkway Ct,Orinda,12/28/15,104,10/20/15,12/22/15,63,1235
12 Honeywood Rd,Orinda,12/30/15,115,10/22/15,12/28/15,67,1284
7 Haciendas Rd,Orinda,1/4/16,151,10/27/15,12/29/15,63,1793
19 Brookbank Rd,Orinda,12/31/15,122,10/23/15,12/28/15,66,1383
605 Miner Rd,Orinda,12/31/15,121,10/23/15,12/28/15,66,1371
11 Los Arboles,Orinda,1/4/16,138,10/27/15,12/29/15,63,1638
124 Sleepy Hollow Ln,Orinda,12/31/15,116,10/23/15,12/28/15,66,1315
565 Kite Hill Ter,Orinda,1/12/16,93,11/2/15,1/7/16,66,1054
6 Sally Ann Rd,Orinda,1/11/16,99,11/2/15,1/5/16,64,1157
15 Honeywood Rd,Orinda,12/30/15,118,10/22/15,12/28/15,67,1317
511 Hawkridge Ter,Orinda,1/12/16,108,11/2/15,1/7/16,66,1224
115 Silver Oak Ter,Orinda,12/30/15,82,10/22/15,12/28/15,67,915
44 Southwood Dr,Orinda,1/13/16,87,11/4/15,1/7/16,64,1017
12 Stanton Ct,Orinda,1/5/16,91,10/28/15,12/30/15,63,1080
665 Ironbark Cir,Orinda,1/12/16,84,11/2/15,1/7/16,66,952
24 Zander Dr,Orinda,1/20/16,243,10/30/15,1/5/16,67,2713
88 Southwood Dr,Orinda,1/13/16,83,11/4/15,1/7/16,64,970
388 Dalewood Dr,Orinda,1/7/16,94,10/29/15,1/4/16,67,1049
59 Orinda View Rd,Orinda,12/30/15,124,10/22/15,12/28/15,67,1384
31 Fallen Leaf Ter,Orinda,1/7/16,97,10/29/15,1/4/16,67,1083
515 Park Way,Piedmont,1/19/16,82,11/9/15,1/12/16,64,958
303 Pacific Ave,Piedmont,12/29/15,146,10/21/15,12/23/15,63,1733
